datap,median,total,size,clade,numtaxa
Choiniere_etal_2014ba.nex,0.622522523,0.595637743,555,Dinosaurs,1
Choiniere_etal_2014bb.nex,0.628828829,0.596601865,555,Dinosaurs,1
Carballido_etal_2022ao.nex,0.737318841,0.677942029,552,Dinosaurs,1
Liao_etal_2021a.nex,0.75,0.683195708,552,Dinosaurs,1
Poropat_etal_2021a.nex,0.737318841,0.677942029,552,Dinosaurs,1
Upchurch_etal_2021aa.nex,0.756805808,0.682852937,551,Dinosaurs,1
Averianov_et_Lopatin_2020a.nex,0.718978102,0.662065631,548,Dinosaurs,1
Averianov_et_Zverkov_2020aa.nex,0.73540146,0.678905109,548,Dinosaurs,1
Averianov_etal_2021a.nex,0.718978102,0.662081228,548,Dinosaurs,1
Carballido_etal_2022ai.nex,0.733576642,0.676551095,548,Dinosaurs,1
Mannion_etal_2019b.nex,0.733576642,0.676551095,548,Dinosaurs,1
Mo_etal_2023a.nex,0.755474453,0.681030519,548,Dinosaurs,1
Wang_etal_2021cb.nex,0.726277372,0.669221411,548,Dinosaurs,1
Wang_etal_2021cc.nex,0.719890511,0.663614994,548,Dinosaurs,1
Mannion_etal_2019a.nex,0.730627306,0.669915161,542,Dinosaurs,1
Royo-Torres_etal_2021a.nex,0.732472325,0.671861181,542,Dinosaurs,1
Schwarz_etal_2020a.nex,0.730627306,0.671242729,542,Dinosaurs,1
Woodruff_etal_2018ac.nex,0.372222222,0.384876543,540,Dinosaurs,1
Huttenlocker_etal_2018a.nex,0.50929368,0.499895911,538,Meso_mammals,1
Gorsack_et_OConnor_2019aa.nex,0.603383459,0.567805878,532,Dinosaurs,1
Groh_etal_2020ab.nex,0.515065913,0.488885526,531,Non_dinosaur_archosauro,1
Hoffmann_etal_2020aa.nex,0.399056604,0.394878706,530,Meso_mammals,1
Hoffmann_etal_2020ab.nex,0.399056604,0.394878706,530,Meso_mammals,1
Hoffmann_etal_2020ac.nex,0.399056604,0.394878706,530,Meso_mammals,1
Krause_etal_inpressb.nex,0.399056604,0.394878706,530,Meso_mammals,1
Herrera_etal_2021a.nex,0.513487476,0.519990366,519,Non_dinosaur_archosauro,1
Herrera_etal_2021b.nex,0.513487476,0.520088895,519,Non_dinosaur_archosauro,1
Wilberg_etal_2022aa.nex,0.516377649,0.522750852,519,Non_dinosaur_archosauro,1
Davenport_etal_2006ad.nex,0,0.046795003,514,Primates,0.210526316
Ruebenstahl_etal_2022a.nex,0.344054581,0.394736842,513,Non_dinosaur_archosauro,1
Luo_etal_2017a.nex,0.466796875,0.477652995,512,Meso_mammals,1
Meng_etal_inpressa.nex,0.466796875,0.477652995,512,Meso_mammals,1
Atwater_et_Kirk_2018aa.nex,0.238235294,0.297598039,510,Primates,1
Ruiz_etal_2021a.nex,0.370808679,0.414497041,507,Non_dinosaur_archosauro,1
Sekiya_etal_2014a.nex,0.330693069,0.364656466,505,Dinosaurs,1
Han_etal_inpressb.nex,0.479207921,0.475349073,505,Meso_mammals,1
Mao_etal_2020a.nex,0.483168317,0.478913346,505,Meso_mammals,1
Wang_etal_inpressgb.nex,0.467326733,0.474374895,505,Meso_mammals,1
Wang_etal_inpressgc.nex,0.469306931,0.474676959,505,Meso_mammals,1
Sallam_etal_2018aa.nex,0.605367793,0.572602844,503,Dinosaurs,1
Sallam_etal_2018ab.nex,0.605367793,0.57252638,503,Dinosaurs,1
Nesbitt_etal_2019aa.nex,0.310756972,0.387153142,502,Dinosaurs,0.964912281
Fiorillo_et_Tykoski_2014ab.nex,0.417165669,0.439401898,501,Dinosaurs,1
Loewen_etal_2013a.nex,0.394211577,0.430211007,501,Dinosaurs,1
Lu_etal_2014ac.nex,0.371257485,0.428546416,501,Dinosaurs,1
Zanno_etal_2019ac.nex,0.417165669,0.432568825,501,Dinosaurs,1
Pol_etal_2020a.nex,0.660320641,0.633096381,499,Dinosaurs,1
Pol_etal_2022a.nex,0.660320641,0.633096381,499,Dinosaurs,1
Luo_etal_2015ba.nex,0.473843058,0.474849095,497,Meso_mammals,1
Bi_etal_2014a.nex,0.474747475,0.473674801,495,Meso_mammals,1
